code,ticker,name
4064,4064.T,"Nippon Carbide Industries Co., Inc."
4071,4071.T,"Plus Alpha Consulting Co.,Ltd."
4072,4072.T,"Densan System Holdings Co., Ltd."
4078,4078.T,"Sakai Chemical Industry Co., Ltd."
4082,4082.T,"Daiichi Kigenso Kagaku Kogyo Co., Ltd."
4088,4088.T,Air Water Inc.
4091,4091.T,Nippon Sanso Holdings Corporation
4092,4092.T,"Nippon Chemical Industrial Co., Ltd."
4093,4093.T,"Toho Acetylene Co., Ltd."
4095,4095.T,"Nihon Parkerizing Co., Ltd."
4097,4097.T,"Koatsu Gas Kogyo Co., Ltd."
4099,4099.T,Shikoku Kasei Holdings Corporation
4109,4109.T,Stella Chemifa Corporation
4112,4112.T,"Hodogaya Chemical Co., Ltd."
4114,4114.T,"Nippon Shokubai Co., Ltd."
4116,4116.T,"Dainichiseika Color & Chemicals Mfg. Co., Ltd."
4118,4118.T,Kaneka Corporation
4151,4151.T,"Kyowa Kirin Co., Ltd."
4180,4180.T,"Appier Group, Inc."
4182,4182.T,"Mitsubishi Gas Chemical Company, Inc."
4183,4183.T,"Mitsui Chemicals, Inc."
4186,4186.T,"Tokyo Ohka Kogyo Co., Ltd."
4187,4187.T,Osaka Organic Chemical Industry Ltd.
4188,4188.T,Mitsubishi Chemical Group Corporation
4189,4189.T,"KH Neochem Co., Ltd."
4194,4194.T,"Visional, Inc."
4202,4202.T,Daicel Corporation
4203,4203.T,Sumitomo Bakelite Company Limited
4204,4204.T,"Sekisui Chemical Co., Ltd."
4205,4205.T,Zeon Corporation
4206,4206.T,"Aica Kogyo Company, Limited"
4208,4208.T,UBE Corporation
4212,4212.T,Sekisui Jushi Corporation
4216,4216.T,Asahi Yukizai Corporation
4218,4218.T,"Nichiban Co., Ltd."
4220,4220.T,Riken Technos Corporation
4221,4221.T,"Okura Industrial Co., Ltd."
4228,4228.T,"Sekisui Kasei Co., Ltd."
4229,4229.T,"Gun Ei Chemical Industry Co., Ltd."
4246,4246.T,DaikyoNishikawa Corporation
4249,4249.T,"Moriroku Company, Ltd."
4251,4251.T,KEIWA Incorporated
4272,4272.T,"Nippon Kayaku Co., Ltd."
4275,4275.T,"Carlit Co., Ltd."
4290,4290.T,Prestige International Inc.
4301,4301.T,Amuse Inc.
4307,4307.T,"Nomura Research Institute, Ltd."
4310,4310.T,Dream Incubator Inc.
4318,4318.T,"Quick Co.,Ltd."
4323,4323.T,"Japan System Techniques Co., Ltd."
4324,4324.T,Dentsu Group Inc.
4326,4326.T,INTAGE HOLDINGS Inc.
4331,4331.T,"Take and Give. Needs Co., Ltd"
4333,4333.T,"Toho System Science Co., Ltd."
4337,4337.T,PIA Corporation
4343,4343.T,"AEON Fantasy Co.,LTD."
4344,4344.T,Sourcenext Corporation
4345,4345.T,"CTS Co., Ltd."
4362,4362.T,"Nippon Fine Chemical Co., Ltd."
4368,4368.T,"Fuso Chemical Co.,Ltd."
4369,4369.T,Tri Chemical Laboratories Inc.
4373,4373.T,"Simplex Holdings, Inc."
4384,4384.T,Raksul Inc.
4385,4385.T,"Mercari, Inc."
4390,4390.T,"IPS, Inc."
4392,4392.T,"Future Innovation Group, Inc."
4396,4396.T,System Support Holdings Inc.
4401,4401.T,Adeka Corporation
4403,4403.T,NOF Corporation
4410,4410.T,"Harima Chemicals Group, Inc."
4413,4413.T,"baudroie,inc."
4432,4432.T,WingArc1st Inc.
4433,4433.T,"HITO-Communications Holdings,Inc."
4443,4443.T,"Sansan, Inc."
4446,4446.T,Link-U Group Inc.
4449,4449.T,giftee Inc.
4452,4452.T,Kao Corporation
4461,4461.T,DKS Co. Ltd.
4462,4462.T,"Ishihara Chemical Co., Ltd."
4471,4471.T,"Sanyo Chemical Industries, Ltd."
4480,4480.T,"Medley, Inc."
4481,4481.T,"Base Co., Ltd."
4483,4483.T,JMDC Inc.
4502,4502.T,Takeda Pharmaceutical Company Limited
4503,4503.T,Astellas Pharma Inc.
4506,4506.T,"Sumitomo Pharma Co., Ltd."
4507,4507.T,"Shionogi & Co., Ltd."
4516,4516.T,"Nippon Shinyaku Co., Ltd."
4519,4519.T,"Chugai Pharmaceutical Co., Ltd."
4521,4521.T,"Kaken Pharmaceutical Co., Ltd."
4523,4523.T,"Eisai Co., Ltd."
4526,4526.T,"Riken Vitamin Co., Ltd."
4527,4527.T,"Rohto Pharmaceutical Co.,Ltd."
4528,4528.T,"Ono Pharmaceutical Co., Ltd."
4530,4530.T,"Hisamitsu Pharmaceutical Co., Inc."
4534,4534.T,"Mochida Pharmaceutical Co., Ltd."
4536,4536.T,"Santen Pharmaceutical Co., Ltd."
4538,4538.T,"Fuso Pharmaceutical Industries,Ltd."
4540,4540.T,Tsumura & Co.
4543,4543.T,Terumo Corporation
4544,4544.T,"H.U. Group Holdings, Inc."
4547,4547.T,"Kissei Pharmaceutical Co., Ltd."
4548,4548.T,Seikagaku Corporation
4549,4549.T,"Eiken Chemical Co., Ltd."
4551,4551.T,"Torii Pharmaceutical Co., Ltd."
4552,4552.T,"JCR Pharmaceuticals Co., Ltd."
4553,4553.T,"Towa Pharmaceutical Co., Ltd."
4554,4554.T,"Fuji Pharma Co., Ltd."
4559,4559.T,"Zeria Pharmaceutical Co., Ltd."
4565,4565.T,"Nxera Pharma Co., Ltd."
4568,4568.T,"Daiichi Sankyo Company, Limited"
4569,4569.T,"KYORIN Pharmaceutical Co., Ltd."
4574,4574.T,"Taiko Pharmaceutical Co.,Ltd."
4577,4577.T,"Daito Pharmaceutical Co.,Ltd."
4578,4578.T,"Otsuka Holdings Co., Ltd."
4587,4587.T,PeptiDream Inc.
4611,4611.T,"Dai Nippon Toryo Company, Limited"
4612,4612.T,"Nippon Paint Holdings Co., Ltd."
4613,4613.T,"Kansai Paint Co., Ltd."
4617,4617.T,"Chugoku Marine Paints, Ltd."
4626,4626.T,"Taiyo Holdings Co., Ltd."
4631,4631.T,DIC Corporation
4633,4633.T,Sakata INX Corporation
